departamento;provincia
Ambato;Catamarca
Ancasti;Catamarca
Andalgalá;Catamarca
Antofagasta de la Sierra;Catamarca
Belén;Catamarca
Capayán;Catamarca
Capital;Catamarca
El Alto;Catamarca
Fray Mamerto Esquiú;Catamarca
La Paz;Catamarca
Paclín;Catamarca
Pomán;Catamarca
Santa María;Catamarca
Santa Rosa;Catamarca
Tinogasta;Catamarca
Valle Viejo;Catamarca
Cochinoca;Jujuy
Doctor Manuel Belgrano;Jujuy
El Carmen;Jujuy
Humahuaca;Jujuy
Ledesma;Jujuy
Palpalá;Jujuy
Rinconada;Jujuy
San Antonio;Jujuy
San Pedro;Jujuy
Santa Bárbara;Jujuy
Santa Catalina;Jujuy
Susques;Jujuy
Tilcara;Jujuy
Tumbaya;Jujuy
Valle Grande;Jujuy
Yavi;Jujuy
Capital;Mendoza
General Alvear;Mendoza
Godoy Cruz;Mendoza
Guaymallén;Mendoza
Junín;Mendoza
La Paz;Mendoza
Las Heras;Mendoza
Lavalle;Mendoza
Luján de Cuyo;Mendoza
Maipú;Mendoza
Malargüe;Mendoza
Rivadavia;Mendoza
San Carlos;Mendoza
San Martín;Mendoza
San Rafael;Mendoza
Santa Rosa;Mendoza
Tunuyán;Mendoza
Tupungato;Mendoza
Aluminé;Neuquén
Añelo;Neuquén
Catán Lil;Neuquén
Chos Malal;Neuquén
Collón Curá;Neuquén
Confluencia;Neuquén
Huiliches;Neuquén
Lácar;Neuquén
Loncopué;Neuquén
Los Lagos;Neuquén
Minas;Neuquén
Ñorquín;Neuquén
Pehuenches;Neuquén
Picunches;Neuquén
Picún Leufú;Neuquén
Zapala;Neuquén
Arauco;La Rioja
Capital;La Rioja
Castro Barros;La Rioja
Chamical;La Rioja
Chilecito;La Rioja
Coronel Felipe Varela;La Rioja
Famatina;La Rioja
General Ángel V. Peñaloza;La Rioja
General Belgrano;La Rioja
General Juan Facundo Quiroga;La Rioja
General Lamadrid;La Rioja
General Ocampo;La Rioja
General San Martín;La Rioja
Independencia;La Rioja
Rosario Vera Peñaloza;La Rioja
Sanagasta;La Rioja
San Blas de los Sauces;La Rioja
Vinchina;La Rioja
Biedma;Chubut
Cushamen;Chubut
Escalante;Chubut
Florentino Ameghino;Chubut
Futaleufú;Chubut
Gaiman;Chubut
Gastre;Chubut
Languiñeo;Chubut
Mártires;Chubut
Paso de Indios;Chubut
Rawson;Chubut
Río Senguer;Chubut
Sarmiento;Chubut
Tehuelches;Chubut
Telsen;Chubut
Adolfo Alsina;Río Negro
Avellaneda;Río Negro
Bariloche;Río Negro
Conesa;Río Negro
El Cuy;Río Negro
General Roca;Río Negro
Ñorquincó;Río Negro
Nueve de Julio (9 de Julio);Río Negro
Pichi Mahuida;Río Negro
Pilcaniyeu;Río Negro
San Antonio;Río Negro
Valcheta;Río Negro
Veinticinco de Mayo (25 de Mayo);Río Negro
Anta;Salta
Cachi;Salta
Cafayate;Salta
Capital;Salta
Cerrillos;Salta
Chicoana;Salta
General Güemes;Salta
General José de San Martín;Salta
Guachipas;Salta
Iruya;Salta
La Caldera;Salta
La Candelaria;Salta
La Poma;Salta
La Viña;Salta
Los Andes;Salta
Metán;Salta
Molinos;Salta
Orán;Salta
Rivadavia;Salta
